"message","iss_position.longitude","iss_position.latitude","timestamp"
"success","-150.3384","45.6121",2020-05-03 19:31:05
"success","-150.3384","45.6121",2020-05-03 17:31:05
"success","-150.2994","45.5971",2020-05-03 17:31:06
"success","-149.4083","45.2493",2020-05-03 17:31:17
"success","-148.643","44.9407",2020-05-03 17:31:28
"success","-147.661","44.531",2020-05-03 17:31:41
"success","-146.7675","44.1446",2020-05-03 17:31:53
"success","-145.9958","43.8002",2020-05-03 17:32:03
"success","-145.1616","43.4165",2020-05-03 17:32:15
"success","-144.4098","43.0603",2020-05-03 17:32:25
"success","-143.667","42.6985",2020-05-03 17:32:36
"success","-142.9336","42.3314",2020-05-03 17:32:46
"success","-142.2092","41.9592",2020-05-03 17:32:57
"success","-141.4936","41.5818",2020-05-03 17:33:07
"success","-140.7871","41.1995",2020-05-03 17:33:18
"success","-140.0565","40.7939",2020-05-03 17:33:29
"success","-139.4006","40.4208",2020-05-03 17:33:39
"success","-138.7202","40.0244",2020-05-03 17:33:49
"success","-138.0482","39.6236",2020-05-03 17:34:00
"success","-137.3844","39.2185",2020-05-03 17:34:10
"success","-136.6669","38.7699",2020-05-03 17:34:22
"success","-136.0508","38.3758",2020-05-03 17:34:32
"success","-135.4116","37.9581",2020-05-03 17:34:42
"success","-134.7801","37.5365",2020-05-03 17:34:53
"success","-134.1564","37.1111",2020-05-03 17:35:04
"success","-133.54","36.6819",2020-05-03 17:35:14
"success","-132.9311","36.2491",2020-05-03 17:35:25
"success","-132.3294","35.8128",2020-05-03 17:35:35
"success","-131.7348","35.3732",2020-05-03 17:35:46
"success","-131.147","34.9301",2020-05-03 17:35:56
"success","-130.5662","34.4838",2020-05-03 17:36:07
"success","-129.992","34.0344",2020-05-03 17:36:17
"success","-129.4244","33.5819",2020-05-03 17:36:28
"success","-128.8631","33.1264",2020-05-03 17:36:38
"success","-128.3082","32.668",2020-05-03 17:36:49
"success","-127.7594","32.2068",2020-05-03 17:36:59
"success","-127.2167","31.743",2020-05-03 17:37:10
"success","-126.6798","31.2764",2020-05-03 17:37:20
"success","-126.1487","30.8073",2020-05-03 17:37:31
"success","-125.6231","30.3356",2020-05-03 17:37:41
"success","-125.1031","29.8615",2020-05-03 17:37:52
"success","-124.5883","29.3849",2020-05-03 17:38:02
"success","-124.103","28.929",2020-05-03 17:38:13
"success","-123.5984","28.448",2020-05-03 17:38:23
"success","-123.0988","27.9649",2020-05-03 17:38:34
"success","-122.6041","27.4797",2020-05-03 17:38:44
